id,website_url,restaurant_provided_menu_link,telephone_number,year_established,email_address,offers_delivery,offers_pickup,offers_group_order,offers_catering,has_bar,has_counter,has_gifting,has_takeout,order_online_link,facebook_link,instagram_link,twitter_link,play_store_link,app_store_link
22822,http://www.elcafecitoespresso.com/,,+1 925-425-7061,,info@elcafecitoespresso.com,,,,,,,,,,,,,,
22820,http://www.fourseasons.com/siliconvalley/dining/restaurants/quattro/,,+1 650-566-1200,"[1200, 0, 1200]",Quattro.SiliconValley@fourseasons.com,False,False,False,False,True,False,False,False,,,,,,
22826,http://www.winebar107.com/contact-us.html,,+1 408-354-6150,,winebar107@testarossa.com,,,,,,,,,,,,,,
22825,http://www.buffalowildwings.com/en/locations/detail/3698,,+1 707-765-9464,"[2022, 1043]",,True,True,True,False,True,True,False,False,,,,,,
22824,http://www.theplantcafe.com/location/sfo,,+1 650-821-9290,,,,,,,,,,,,,,,,
22821,http://www.7-eleven.com/?yext=14178,,+1 510-500-3357,,,,,,,,,,,,,,,,
22829,http://www.thebluepheasant.com/,,+1 408-255-3300,"[1974, 1974, 3300]",bluepheasantrestaurant@yahoo.com,False,False,False,False,True,False,False,False,,,,,,
22827,http://www.7-eleven.com/?yext=14321,,+1 650-961-5913,[460],,True,False,True,False,False,True,False,False,,,,,,
22831,http://www.7-eleven.com/?yext=39595,,+1 510-886-4600,[460],,True,False,True,False,False,True,False,False,,,,,,
22836,https://www.facebook.com/BobsCountryCorner/,,+1 650-854-4260,"[2910, 1444, 4323, 7200, 1175, 1081]",countrycorner@me.com,False,False,True,False,True,False,False,False,,,,,,
22828,http://www.7-eleven.com/?yext=14133,,+1 707-648-2805,,,,,,,,,,,,,,,,
22832,http://www.7-eleven.com/?yext=23846,,+1 408-320-2705,[460],,True,False,True,False,False,True,False,False,,,,,,
22839,http://junctionbreweryandgrill.com,,+1 707-649-2285,[9503],catering@junctionbreweryandgrill.com,False,False,False,False,True,False,False,False,,,,,,
22835,http://diablohillsgolfcourse.com/,,(625) 937-7372,"[2013, 1600, 1270, 1551, 1270]",,False,False,True,False,True,False,False,False,,,,,,
22838,http://amouracafe.com,,+1 650-821-0320,"[1000, 1000, 1500]",dana@amouracafe.com,False,False,False,True,True,False,False,False,,,,,,
22844,http://harmonicbrewing.com/,,+1 415-872-6817,"[2015, 2015, 1050, 1050, 2018, 1050, 2023, 1050]",info@harmonicbrewing.com,False,False,False,False,True,False,False,False,,,,,,
22840,http://www.dragonflytearoom.net,,+1 209-622-0811,"[1005, 3423, 460, 6008, 1920, 3727, 2023, 2023, 2023, 811, 1229, 5457, 2687, 1901, 5950]",judy@dragonflytearoom.net,True,False,True,False,True,True,False,False,,,,,,
22847,http://asientosf.com/asiento/Intro.html,,+1 415-829-3375,,,,,,,,,,,,,,,,
22842,http://www.stellanonna.com,,+1 510-845-8787,"[2023, 1199, 2023, 2022, 1000, 1025]",Info@stellanonna.com,False,False,False,False,True,False,True,False,,,,,,
22848,https://johnnydoughnuts.com,,+1 415-450-1866,"[1967, 6806, 1617, 1866, 3382, 1200, 1920, 1920, 1234]",connect@johnnydoughnuts.com,False,False,False,False,True,False,False,False,https://squareup.com/gift/7WCX3XBKZAW9V/order,,,,,
22851,http://marinjoesrestaurant.com,,+1 415-924-2081,"[1585, 1585, 1585, 1500, 1585, 1585]",,True,True,False,False,True,False,False,True,,,,,,
