id,website_url,restaurant_provided_menu_link,telephone_number,year_established,email_address,offers_delivery,offers_pickup,offers_group_order,offers_catering,has_bar,has_counter,has_gifting,has_takeout,order_online_link,facebook_link
13612,https://www.monkskettle.com/terra-linda/,https://www.monkskettle.com/menus-san-rafael/#daily-menu-terra-linda,,,,True,True,True,False,,,,,,
13613,http://www.bjsrestaurants.com/locations/ca/modesto,https://www.bjsrestaurants.com/menu,(209) 846-6940,,,True,True,False,True,,,,,,
13614,https://boudinbakery.com/location/boudin-sf-stone-creek-village/,https://www.boudinbakery.com/Boudin_SF_Menu,(209) 952-2000,,,True,True,True,False,,,,,,
13615,http://www.arteagas.com,,+1 510-791-1252,,,True,True,True,False,,,,,,
13617,https://website--67449670464873715942-mexicanrestaurant.negocio.site,,(925) 978-4585,,,True,True,True,False,,,,,,
13619,http://mingsgardenlivermore.com,,(925) 960-9998,,,True,True,True,False,,,,,,
13621,https://golicecream.com,http://golicecream.com/,(925) 803-6964,2006,,True,True,True,False,,,,,,
13623,https://ohganebull.com/cms/about/,https://bullktown.menu11.com/,(408) 352-5515,2017,,True,True,True,False,,,,,,
13624,http://www.skipolinispizza.com,,+1 925-680-6888,,,True,True,True,False,,,,,,
13626,https://elcuscatlan.sitiolink.com,https://elcuscatlan.sitiolink.com/menu.html,(510) 313-0654,,,True,True,True,False,,,,,,
13627,http://yoshi-ramen.com,https://www.yoshi-ramen.com/menus,(650) 757-6833,,,True,True,True,False,,,,,,
13629,https://www.juiceitup.com/,,+1 209-333-5227,,,True,True,True,False,,,,,,
13631,http://www.yountvilledeli.com,,(707) 944-2002,2008,,False,False,,,False,False,False,False,,https://www.facebook.com/gourmetfoodandwinetours/
13632,https://kabobsxpress.com,,(925) 684-7739,,,True,True,True,False,,,,,,
13633,https://boudinbakery.com/location/boudin-sf-alamaden-plaza/?utm_source=yelp&utm_medium=restaurant-link&utm_campaign=yelp-page-almaden&utm_content=main-content,https://boudinbakery.com/menu/sandwiches/,(408) 513-1050,,,True,True,True,False,,,,,,
13634,http://www.yayacuisine.com,http://www.yayacuisine.com/menu.htm,+1 415-567-4400,,jannahyaya@gmail.com,False,False,,,False,False,False,True,,
13635,https://www.locandamarin.com,https://locandamarin.com/locanda/order,(415) 891-3979,2019,,False,False,,,False,False,False,False,,
13636,https://taqueriaextra.com,https://order.online/store/TaqueriaLimon-478758/en-US/?hideModal=true&pickup=true,(510) 505-9200,2016,,True,True,True,False,,,,,,
13637,http://www.koriander.us/,http://www.koriander.us/,(650) 727-9400,,,True,True,True,False,False,False,False,True,http://www.koriander.us,https://www.facebook.com/koriander.indiancuisine
13638,https://restaurants.subway.com/united-states/ca/moraga/396-park-street?utm_source=yext-other&utm_medium=local&utm_term=acq&utm_content=15583&utm_campaign=evergreen-2020,,(925) 376-2959,1965,,True,True,True,False,,,,,,
13640,http://www.houseofthaisf.com/,,+1 415-441-2248,,houseofthaionlarkin@gmail.com,True,True,True,False,,,,,,
13641,http://www.linguinisrestaurant.com,,+1 510-521-2141,,,False,False,,,False,False,False,False,,
13642,https://mhme.nu/Thestation,https://mhme.nu/lp/Thestation#saved-design-link-b465275b-6efb-4c90-bc2a-b12fc3a83ea2,(209) 207-9335,,,True,True,True,False,,,,,,
13643,https://www.pressedjuicery.com/,,+1 415-925-1301,,info@pressedjuicery.com,True,True,True,False,,,,,,
13644,http://belcampo.com/restaurant/larkspur/,,+1 415-448-5810,,info@belcampoca.com,,,,,,,,,,
